Display_Name,Rho_N57,P_Value_N57,Can_Validate
绿原酸,0.836,5.583288435327523e-16,Yes
蔗糖,0.815,1.166182439389505e-14,No
芸香苷,0.812,1.913835405829538e-14,Yes
葡萄糖,0.795,1.5660708453932908e-13,No
总糖,0.773,1.877935768406932e-12,Yes
异戊酰胺,-0.766,3.865664300504986e-12,No
DDMP,0.755,1.157780728278997e-11,Yes
糖碱比,0.754,1.3018665674077313e-11,Yes
果糖,0.75,1.847609278066896e-11,No
还原糖,0.743,3.507174023086921e-11,Yes
两糖差,0.741,4.2371800711827985e-11,Yes
脯氨酸,0.74,4.9629076865018e-11,No
尼可他因,-0.74,4.82047306777312e-11,No
菠萝呋喃酮,0.737,6.50766051631101e-11,No
草酸,-0.721,2.4454000792951917e-10,Yes
二氢猕猴桃内酯2,-0.682,5.116115580012975e-9,No
柠檬酸,-0.682,5.306949674395692e-9,Yes
棕榈酸,0.676,8.179055426522915e-9,Yes
油酸,0.67,1.1885874819632733e-8,Yes
肌醇,0.662,2.0957412888729526e-8,No
糠醛,0.655,3.3386625119515227e-8,Yes
三羟基丁酸,0.641,7.912074875694779e-8,No
丙酸,0.639,8.86462080346087e-8,Yes
柠檬酸2,-0.638,9.492785151938511e-8,No
总氮,-0.628,1.7050123227890457e-7,Yes
亚油酸,0.624,2.185653239094675e-7,Yes
麦司明,-0.615,3.6652224968126784e-7,No
5-甲基糠醛,0.605,6.090214109645507e-7,Yes
beta-紫罗兰酮,-0.603,6.765802453228512e-7,Yes
吲哚,-0.591,1.3283564817283031e-6,No
苯乙醇,-0.59,1.3327942500639354e-6,Yes
4-乙烯基愈创木酚,0.571,3.55545641532109e-6,No
糠醇,0.568,4.032729144543182e-6,Yes
乙酸,0.558,6.564188461836049e-6,Yes
3-甲基吲哚,-0.532,2.0505755860207193e-5,No
吡咯,-0.53,2.2735236852544632e-5,No
3-甲基-2-环戊烯酮,0.527,2.5804029481848273e-5,No
"2,3-二甲基-2-环戊烯酮",0.524,2.8553073114253742e-5,No
尼古丁2,-0.521,3.2432124532747616e-5,Yes
2-环戊烯酮,0.51,5.0858323990966346e-5,Yes
"2,3'-联吡啶",-0.508,5.527672373816501e-5,No
尼古丁,-0.5,7.413585115491411e-5,Yes
巨豆三烯酮,-0.495,9.101516271442204e-5,Yes
二氢猕猴桃内酯,-0.458,3.4187028733323184e-4,Yes
"2,6-二甲基苯酚",-0.457,3.5214554842073276e-4,No
喹啉,-0.443,5.577794506857097e-4,No
3-甲基戊酸,-0.423,0.001036864726849887,Yes
1-茚酮,-0.416,0.0013058509041970726,No
苯甲醇,-0.374,0.0041045415904746654,No
丙二酸,-0.37,0.0045892514635854035,Yes
乳酸,0.272,0.04058289856921034,No
