Display_Name,Computational_Name,Cohort
样品编号,样品编号,N57
Sourness_Score,Sourness_Score,N57
尼古丁,尼古丁,N57
总糖,总糖,N57
还原糖,还原糖,N57
总氮,总氮,N57
总钾,总钾,N57
总氯,总氯,N57
糖碱比,糖碱比,N57
氮碱比,氮碱比,N57
两糖比,两糖比,N57
两糖差,两糖差,N57
钾氯比,钾氯比,N57
苹果酸,苹果酸,N57
草酸,草酸,N57
柠檬酸,柠檬酸,N57
丙二酸,丙二酸,N57
乳酸,乳酸,N57
棕榈酸,棕榈酸,N57
硬脂酸,硬脂酸,N57
油酸,油酸,N57
亚油酸,亚油酸,N57
绿原酸,绿原酸,N57
莨菪亭,莨菪亭,N57
芸香苷,芸香苷,N57
叶黄素,叶黄素,N57
胡萝卜素,胡萝卜素,N57
茄酮,茄酮,N57
香叶基丙酮,香叶基丙酮,N57
beta-紫罗兰酮,beta.紫罗兰酮,N57
氧化紫罗兰酮,氧化紫罗兰酮,N57
降茄二酮,降茄二酮,N57
3-羟基-β-二氢大马酮,X3.羟基.β.二氢大马酮,N57
3-氧代-α-紫罗兰醇,X3.氧代.α.紫罗兰醇,N57
巨豆三烯酮,巨豆三烯酮,N57
二氢猕猴桃内酯,二氢猕猴桃内酯,N57
新植二烯,新植二烯,N57
磷酸,磷酸,N57
甘油,甘油,N57
脯氨酸,脯氨酸,N57
尼古丁2,尼古丁2,N57
二羟基丙酸,二羟基丙酸,N57
苹果酸2,苹果酸2,N57
三羟基丁酸,三羟基丁酸,N57
柠檬酸2,柠檬酸2,N57
果糖,果糖,N57
葡萄糖,葡萄糖,N57
肌醇,肌醇,N57
蔗糖,蔗糖,N57
糠醛,糠醛,N57
糠醇,糠醇,N57
5-甲基糠醛,X5.甲基糠醛,N57
菠萝呋喃酮,菠萝呋喃酮,N57
麦芽酚,麦芽酚,N57
DDMP,DDMP,N57
γ-巴豆酰内酯,γ.巴豆酰内酯,N57
二氢猕猴桃内酯2,二氢猕猴桃内酯2,N57
γ-丁内酯,γ.丁内酯,N57
苯酚,苯酚,N57
愈创木酚,愈创木酚,N57
邻甲酚,邻甲酚,N57
间甲酚,间甲酚,N57
对甲酚,对甲酚,N57
4-乙烯基愈创木酚,X4.乙烯基愈创木酚,N57
"2,6-二甲基苯酚",X2.6.二甲基苯酚,N57
"2,6-二甲氧基苯酚",X2.6.二甲氧基苯酚,N57
丁香酚,丁香酚,N57
异丁香酚,异丁香酚,N57
2-环戊烯酮,X2.环戊烯酮,N57
3-甲基-2-环戊烯酮,X3.甲基.2.环戊烯酮,N57
"2,3-二甲基-2-环戊烯酮",X2.3.二甲基.2.环戊烯酮,N57
3-乙基-2-环戊烯酮,X3.乙基.2.环戊烯酮,N57
甲基环戊烯醇酮,甲基环戊烯醇酮,N57
乙基环戊烯醇酮,乙基环戊烯醇酮,N57
1-茚酮,X1.茚酮,N57
巨豆三烯酮2,巨豆三烯酮2,N57
3-羟基-β-二氢大马酮2,X3.羟基.β.二氢大马酮2,N57
3-氧代-α-紫罗兰醇2,X3.氧代.α.紫罗兰醇2,N57
乙酸,乙酸,N57
丙酸,丙酸,N57
丁酸,丁酸,N57
异戊酸,异戊酸,N57
3-甲基戊酸,X3.甲基戊酸,N57
吡咯,吡咯,N57
乙酰基吡咯,乙酰基吡咯,N57
2-吡咯烷酮,X2.吡咯烷酮,N57
吡啶,吡啶,N57
2-甲基吡啶,X2.甲基吡啶,N57
3-甲基吡啶,X3.甲基吡啶,N57
3-乙基吡啶,X3.乙基吡啶,N57
3-羟基-6-甲基吡啶,X3.羟基.6.甲基吡啶,N57
"2,3'-联吡啶",X2.3..联吡啶,N57
尼古丁3,尼古丁3,N57
麦司明,麦司明,N57
尼可他因,尼可他因,N57
2-甲基吡嗪,X2.甲基吡嗪,N57
吲哚,吲哚,N57
3-甲基吲哚,X3.甲基吲哚,N57
喹啉,喹啉,N57
异戊酰胺,异戊酰胺,N57
新植二烯2,新植二烯2,N57
苯甲醇,苯甲醇,N57
苯乙醇,苯乙醇,N57
